name,구분,lat,lon
경마공원역,일반역,37.443987,127.007899
대공원역,일반역,37.435724,127.006474
과천역,일반역,37.433205,126.996404
정부과천청사역,일반역,37.426445,126.989802
이천역,일반역,37.264222,127.442135
박촌역,일반역,37.553525,126.744946
부발역,일반역,37.260411,127.490303
세종대왕릉역,일반역,37.293636,127.570764
여주역,일반역,37.282881,127.628571
성환역,일반역,36.915781,127.127007
직산역,일반역,36.870921,127.143774
두정역,일반역,36.833791,127.148905
천안역,일반역,36.810238,127.146417
봉명역,일반역,36.801578,127.136319
쌍용(나사렛대)역,일반역,36.793745,127.121363
아산역,일반역,36.792195,127.105049
배방역,일반역,36.777541,127.052751
온양온천역,일반역,36.780419,127.003707
신창(순천향대)역,일반역,36.769213,126.950129
부전역,일반역,35.164668,129.06011
거제해맞이역,환승역,35.182197,129.069315
거제역,일반역,35.188587,129.073904
교대역,환승역,37.492975,127.013814
동래역,일반역,35.205614,129.078502
안락역,일반역,35.195907,129.101062
재송역,일반역,35.189,129.120919
센텀역,일반역,35.168921,129.131659
벡스코역,환승역,35.16899,129.13868
신해운대역,일반역,35.181832,129.176696
송정역,일반역,35.137559,126.791535
오시리아역,일반역,35.196256,129.208291
기장역,일반역,35.243027,129.218551
일광역,일반역,35.265565,129.233307
광명역,일반역,37.415995,126.884523
석수역,일반역,37.435161,126.902233
관악역,일반역,37.419578,126.908476
안양역,일반역,37.401929,126.922647
운정역,일반역,37.725441,126.767076
금릉역,일반역,37.751295,126.765401
금촌역,일반역,37.766106,126.774515
귤현역,일반역,37.566362,126.742498
월롱역,일반역,37.796201,126.792574
파주역,일반역,37.815391,126.792426
문산역,일반역,37.854565,126.787531
남영역,일반역,37.540597,126.971171
용산역,환승역,37.52989,126.964775
지축역,일반역,37.648114,126.913746
안산역,일반역,37.327006,126.788748
삼송역,일반역,37.653096,126.895559
원흥역,일반역,37.650709,126.873239
원당역,일반역,37.653103,126.842891
화정역,일반역,37.637837,126.832503
대곡역,환승역,37.631629,126.811025
백석역,일반역,37.642973,126.788109
마두역,일반역,37.652185,126.777641
정발산역,일반역,37.659709,126.773254
주엽역,일반역,37.670138,126.761232
대화역,일반역,37.675883,126.747756
이촌역,환승역,37.522476,126.973816
서빙고역,일반역,37.51961,126.988358
한남역,일반역,37.529361,127.008984
노량진역,환승역,37.514072,126.941671
대방역,일반역,37.513392,126.926407
신길역,환승역,37.517018,126.917743
영등포역,일반역,37.515756,126.907411
신도림역,환승역,37.508983,126.891513
구로역,환승역,37.503178,126.882037
가산디지털단지역,환승역,37.481568,126.882628
독산역,일반역,37.465994,126.889508
금천구청역,환승역,37.45576,126.894344
금정역,환승역,37.371957,126.943611
군포역,일반역,37.353732,126.948517
당정역,일반역,37.34338,126.948388
의왕역,일반역,37.320648,126.948099
성균관대역,일반역,37.300344,126.970861
화서역,일반역,37.28399,126.989581
수원(분당)역,환승역,37.266162,126.999821
인덕원역,일반역,37.401901,126.976818
평촌역,일반역,37.394346,126.963881
범계역,일반역,37.389783,126.950752
산본역,일반역,37.358019,126.932969
수리산역,일반역,37.350297,126.925537
대야미역,일반역,37.328304,126.917161
반월역,일반역,37.312244,126.903684
상록수역,일반역,37.302845,126.866533
중앙역,일반역,37.316055,126.838532
한대앞역,일반역,37.309685,126.853656
고잔역,일반역,37.316821,126.823094
초지역,일반역,37.320583,126.806151
신길온천역,일반역,37.337488,126.767306
정왕역,일반역,37.351816,126.742844
오이도역,환승역,37.361773,126.738437
고색역,일반역,37.248829,126.977899
오목천역,일반역,37.243011,126.9636354
어천역,일반역,37.250076,126.908805
야목역,일반역,37.261011,126.88429
사리역,일반역,37.289982,126.856872
한대앞역,환승역,37.309685,126.853656
중앙역,환승역,37.316055,126.838532
고잔역,환승역,37.316821,126.823094
초지역,환승역,37.320583,126.806151
안산역,환승역,37.327006,126.788748
신길온천역,환승역,37.337488,126.767306
정왕역,환승역,37.351816,126.742844
오이도역,환승역,37.361773,126.738437
달월역,일반역,37.379993,126.745431
월곶역,일반역,37.39189,126.742741
소래포구역,일반역,37.400963,126.733533
인천논현역,일반역,37.400641,126.722495
계양역,환승역,37.571539,126.736319
호구포역,일반역,37.401622,126.708682
남동인더스파크역,일반역,37.407868,126.695613
원인재역,환승역,37.412921,126.686952
연수역,일반역,37.417769,126.678991
송도역,일반역,37.417769,126.678991
인하대역,일반역,37.448191,126.649832
숭의역,일반역,37.460891,126.638035
신포역,일반역,37.468442,126.624509
옥수역,환승역,37.540514,127.018698
응봉역,일반역,37.550433,127.034824
인천역,환승역,37.476364,126.616936
각산역,일반역,35.868012,128.724389
안심역,일반역,35.871227,128.733739
문양역,일반역,35.864171,128.436969
다사역,일반역,35.8649583,128.4561083
대실역,일반역,35.8579028,128.4644392
강창역,일반역,35.8530713,128.4770843
계명대역,일반역,35.8511654,128.4909082
성서산업단지역,일반역,35.8516818,128.5068662
이곡역,일반역,35.850578,128.515776
용산역,일반역,35.849053,128.528702
죽전역,일반역,35.8503956,128.5381172
감삼역,일반역,35.8542327,128.5477848
두류역,일반역,35.8578873,128.5552363
내당역,일반역,35.860139,128.564636
반고개역,일반역,35.862248,128.572731
청라언덕역,환승역,35.864875,128.582358
반월당역,환승역,35.865513,128.593393
경대병원역,일반역,35.863183,128.602626
대구은행역,일반역,35.859777,128.614091
범어역,일반역,35.8590259,128.6238385
수성구청역,일반역,35.8585726,128.6360776
